iter	Logloss
0	0.6864152123
1	0.677105906
2	0.6678641399
3	0.6582647347
4	0.6528077421
5	0.6477633232
6	0.6420227569
7	0.6363496835
8	0.631959962
9	0.6277621684
10	0.623063272
11	0.6166440027
12	0.6137262698
13	0.607823249
14	0.6045565006
15	0.600385545
16	0.5961667324
17	0.5915481487
18	0.5886481207
19	0.5844537974
20	0.5805842918
21	0.5758572272
22	0.5737893192
23	0.5709940926
24	0.5686537733
25	0.5659229921
26	0.5612324325
27	0.5588885176
28	0.5563416086
29	0.5538182652
30	0.5513721433
31	0.5485262496
32	0.5454484986
33	0.5427841126
34	0.5405320897
35	0.5381673364
36	0.5368561501
37	0.5351805372
38	0.5325115857
39	0.5299743686
40	0.5279028331
41	0.5258362813
42	0.5243918553
43	0.5231083633
44	0.5217853349
45	0.5201942297
46	0.5177359067
47	0.5165611773
48	0.5152043705
49	0.5137999414
50	0.5130624385
51	0.5105829955
52	0.5091096683
53	0.507642231
54	0.5063740734
55	0.5054607162
56	0.5043923591
57	0.5032826733
58	0.5023962568
59	0.5009358828
60	0.4994786155
61	0.4982931315
62	0.4972254185
63	0.4956524069
64	0.4943241193
65	0.4933956783
66	0.4924463024
67	0.4914755921
68	0.4904247697
69	0.4894196558
70	0.4880843433
71	0.4871479913
72	0.4855613086
73	0.484981936
74	0.483543991
75	0.4829853897
76	0.4821061335
77	0.4811579955
78	0.4795232914
79	0.478785436
80	0.4776177756
81	0.4764740292
82	0.475809039
83	0.4749904812
84	0.4743501095
85	0.4738343694
86	0.4731246304
87	0.472339348
88	0.4708539406
89	0.4701809065
90	0.4693277461
91	0.4682776311
92	0.4677040025
93	0.4665477539
94	0.4654836893
95	0.4650971574
96	0.4645715583
97	0.4637895056
98	0.4630164662
99	0.4626106767
100	0.4618946187
101	0.4613320338
102	0.4604704322
103	0.4597598037
104	0.45877088
105	0.4581850156
106	0.4576840165
107	0.4569547254
108	0.4560574393
109	0.4554749076
110	0.4549414697
111	0.4544273213
112	0.4539125267
113	0.4530592319
114	0.4524782621
115	0.4519132365
116	0.4514828493
117	0.4509469991
118	0.4502586133
119	0.4495826216
120	0.4486223188
121	0.4480696274
122	0.4474515722
123	0.447118865
